#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_227	16	32	20	11	11	21	33	39	13	19	23	21	17	12	26	38	8	52
ASV_212	15	15	27	33	27	26	19	16	21	24	28	16	19	16	43	20	18	25
ASV_191	15	9	4	11	1	5	32	20	26	40	48	8	17	64	29	36	14	21
ASV_208	17	9	6	1	4	38	27	33	8	15	20	25	27	8	8	28	72	52
ASV_238	15	42	27	17	27	36	23	18	10	12	22	20	13	10	23	21	35	18
ASV_245	19	28	55	12	4	17	38	25	19	14	20	36	10	7	21	13	20	31
ASV_216	27	58	8	24	6	9	25	34	21	25	30	21	36	9	24	16	8	15
ASV_279	13	36	14	34	10	13	23	31	23	17	18	22	36	7	30	18	15	34
ASV_222	24	7	35	4	1	12	23	15	28	21	31	25	12	37	33	18	16	48
ASV_225	10	9	23	28	58	11	9	8	11	27	17	9	19	76	12	5	25	7
ASV_345	24	27	6	20	7	12	39	41	26	23	18	31	22	11	35	13	7	27
ASV_1351	25	23	24	21	3	24	12	30	27	21	20	39	44	9	16	34	9	13
ASV_233	27	17	35	38	18	17	17	16	38	10	11	18	15	19	23	33	16	7
ASV_234	21	28	21	17	21	32	15	11	24	20	16	23	21	28	22	25	16	13
ASV_274	26	28	16	29	89	8	6	11	15	5	20	10	35	11	21	16	9	4
ASV_221	17	36	0	2	42	60	3	70	7	10	15	6	2	41	38	14	2	4
ASV_231	17	24	17	14	8	5	5	6	131	11	32	6	12	8	11	13	37	25
ASV_244	38	11	119	6	4	5	21	21	28	10	12	40	14	5	13	7	2	23
ASV_214	30	19	19	11	6	11	38	16	16	26	31	34	10	33	31	19	9	19
ASV_236	10	33	16	30	10	12	21	32	23	16	31	27	22	21	20	14	24	17
ASV_220	23	12	33	15	62	19	21	26	7	11	15	7	24	21	17	18	21	18
ASV_205	18	19	17	15	19	13	15	23	20	27	14	22	35	29	28	30	12	11
ASV_229	13	20	15	10	9	15	27	13	10	15	28	24	19	25	29	26	29	41
ASV_289	18	9	14	7	8	8	18	47	28	26	30	37	14	5	20	48	7	25
ASV_242	22	33	11	19	12	29	17	13	20	17	22	25	19	28	33	12	7	19
ASV_276	25	12	22	35	7	16	36	7	21	16	16	21	14	11	28	27	25	27
ASV_249	9	14	15	17	54	18	15	13	12	18	16	18	25	40	10	10	25	15
ASV_421	21	4	9	11	12	11	9	14	40	43	18	36	11	35	33	37	5	20
ASV_228	21	26	19	5	18	10	16	23	13	23	25	20	21	32	21	11	33	13
ASV_252	7	11	20	41	24	14	25	9	10	12	12	28	11	32	30	14	24	24
ASV_250	27	12	3	8	26	15	20	7	13	17	25	23	21	21	27	20	38	32
ASV_288	15	20	23	18	12	19	22	28	13	12	29	31	24	25	21	17	18	20
ASV_258	11	9	13	66	42	8	1	8	59	30	5	7	14	29	7	5	24	9
ASV_254	82	21	2	1	30	5	41	12	18	29	9	31	14	3	39	5	8	15
ASV_265	17	16	19	31	5	7	24	17	25	18	21	33	20	17	18	12	12	34
ASV_251	40	22	35	33	22	50	9	4	9	6	11	7	18	19	15	20	15	8
ASV_259	23	14	13	8	10	9	32	14	14	19	22	29	34	21	28	18	12	29
ASV_261	8	19	7	8	8	17	13	7	13	6	57	22	86	27	10	7	22	20
ASV_230	16	11	8	20	19	10	10	6	25	24	13	15	27	59	17	17	19	23
ASV_263	9	26	10	21	36	23	14	29	29	18	13	25	21	7	26	12	6	17
ASV_273	12	38	18	24	8	8	30	18	19	11	12	27	32	7	27	24	8	16
ASV_247	13	7	6	4	0	2	26	18	36	32	28	18	26	38	22	28	20	19
ASV_255	21	14	7	16	7	18	37	18	25	9	29	33	15	10	24	29	12	23
ASV_301	29	13	17	41	22	24	21	16	20	12	21	22	14	7	13	10	18	17
ASV_257	26	34	15	20	33	34	11	12	9	12	13	24	13	13	9	20	17	14
ASV_253	22	15	25	36	24	37	7	14	14	12	16	12	10	38	10	16	20	8
ASV_286	21	15	13	15	5	7	49	26	16	19	17	28	13	24	27	21	12	21
ASV_264	14	45	18	10	5	14	19	22	14	29	17	16	26	17	13	21	21	20
ASV_267	20	15	30	11	45	14	10	10	9	9	15	10	22	29	19	19	15	22
ASV_283	25	24	11	12	8	5	24	14	18	14	25	24	19	29	20	12	32	18
ASV_278	19	19	26	19	44	22	9	25	10	8	24	15	20	13	14	9	18	17
ASV_294	16	15	13	8	5	15	31	18	23	24	29	32	19	13	24	17	12	26
ASV_281	23	33	5	22	16	20	28	24	11	18	20	26	19	16	9	11	17	14
ASV_239	21	14	19	10	36	18	12	11	13	5	21	9	29	32	10	23	17	20
ASV_271	27	23	7	11	5	21	43	22	21	17	21	41	12	5	10	17	17	15
ASV_241	10	7	29	9	7	8	32	14	20	26	23	21	17	6	37	20	6	42
ASV_2086	18	24	12	16	24	20	19	17	10	12	19	13	27	15	16	22	16	19
ASV_269	28	6	32	22	28	13	5	9	4	25	25	18	13	20	17	23	18	15
ASV_306	19	18	35	10	17	21	24	17	11	16	10	11	13	8	46	24	7	22
ASV_324	19	7	18	25	11	35	8	4	26	14	17	22	36	19	10	16	23	12
ASV_280	22	17	16	34	19	13	26	17	13	15	14	14	15	13	13	21	12	18
ASV_262	23	22	11	8	12	37	16	12	4	13	14	35	10	23	16	16	11	42
ASV_300	8	19	47	10	12	15	15	33	15	19	10	17	16	10	25	20	8	15
ASV_393	16	8	16	28	29	19	14	8	29	18	23	8	11	18	12	20	18	16
ASV_1414	17	17	49	50	6	14	18	14	3	12	26	15	7	6	9	26	7	17
ASV_342	22	18	13	15	21	18	23	14	14	14	27	33	18	12	19	8	14	8
ASV_260	21	22	16	14	5	12	30	23	21	11	15	27	23	14	18	13	9	22
ASV_282	16	6	55	25	41	30	6	35	5	5	13	12	11	9	17	4	16	11
ASV_897	25	16	19	9	22	30	22	22	10	9	18	18	17	22	13	8	13	14
ASV_275	11	19	54	0	0	26	1	7	7	28	4	13	4	61	2	50	6	8
ASV_312	19	15	21	35	51	14	18	21	3	10	12	16	8	6	20	14	15	7
ASV_277	14	15	59	24	10	18	8	12	11	16	10	19	13	11	13	23	8	11
ASV_291	17	11	15	12	27	23	15	8	37	18	8	15	35	15	15	14	16	15
ASV_268	25	4	15	14	12	18	11	53	13	15	23	21	9	10	8	16	20	23
ASV_327	22	16	5	16	5	14	35	26	11	19	21	31	17	11	19	13	9	24
ASV_270	23	14	1	14	25	45	11	14	12	9	22	25	9	12	24	26	8	17
ASV_287	11	10	24	20	9	29	25	19	16	8	32	25	3	22	21	21	6	5
ASV_321	12	26	22	22	20	21	14	17	13	18	15	18	12	15	23	17	9	20
ASV_331	19	29	23	13	27	25	11	8	17	7	16	15	5	16	15	14	20	14
ASV_285	22	14	10	14	5	17	12	21	24	14	18	24	14	13	19	26	9	18
ASV_2368	12	22	15	12	5	9	20	25	14	20	26	16	16	16	22	14	19	19
ASV_515	17	17	9	14	1	20	28	20	14	15	25	32	17	15	14	15	10	18
ASV_305	10	10	10	15	11	13	39	8	10	23	16	16	10	27	20	27	25	19
ASV_308	28	18	3	18	61	12	23	24	3	11	11	15	21	22	6	8	2	5
ASV_297	20	9	6	6	8	34	54	17	10	11	23	27	12	12	14	5	16	9
ASV_2201	22	19	29	7	18	59	14	29	5	17	14	12	5	7	14	6	9	8
ASV_307	29	24	48	12	26	23	5	10	5	12	20	8	6	9	21	16	9	11
ASV_292	20	20	20	9	47	15	15	22	8	7	10	8	5	6	38	16	10	9
ASV_315	16	10	30	21	9	24	20	11	14	16	12	9	10	11	36	18	13	8
